Text,Rating,Gan's Rating,Yimin's Rating
"Q: Is there a difference between capitalism and communism? A: In principle, yes. In capitalism, man exploits man. In communism, it's the reverse.",,,3
"Q: Is it true that there is freedom of speech in the Soviet Union the same as there is the?USA? A: In principle, yes. In the USA, you can stand in front of the Washington Monument in Washington, DC, and yell, ""Down with?Reagan!"", and you will not be punished. In the Soviet Union, you can stand in the Red Square in Moscow and yell, ""Down with Reagan!"", and you will not be punished.",,,2
"Q: Is it true that the poet Vladimir Mayakovsky committed suicide? A: Yes, it is true, and even the record of his very last words is preserved: ""Don't shoot, comrades.""",,,2
Q: Why is there no flour in the market? A: Because they began adding it to the bread.,,,3
"Q: Is it true that in the Soviet Union people do not need stereophonic equipment? A: In principle, yes. One hears exactly the same thing from all sides.",,,4
"Q: Is it true that conditions in our labor camps are excellent? A: In principle, yes. Five years ago one of our listeners was not convinced of this, so he was sent to investigate. He seems to have liked it so much that he hasn't returned yet.",,,5
"Q: Under communism will we still have money? A: No, none of that either.",,,5
"Q: Could an atomic bomb destroy our beloved town,?Yerevan, with its splendid buildings and beautiful gardens? A: In principle, yes. But?Moscow?is by far a more beautiful city.",,,3
Q: What is chaos? A: We do not comment on national economics.,,,4
Q: What is cosmopolitan? A: Cosmonaut's deputy in political affairs.,,,2
Q: What is a Soviet musical duet? A: It's a musical quartet after a trip abroad.,,,2
Q: We are told that the communism is already seen at the horizon. What then is a horizon? A: Horizon is an imaginary line which moves away each time you approach it.,,,1
Q: Why is our government not in a hurry to land our men on the moon? A: What if they refuse to return?,,,2
Q: Is it true that half of the members of the Central Committee are idiots? A: What a crazy question. Half of the members of the Central Committee are not idiots!,,,4
"Q: When Nixon visited Moscow, he and Khrushchev had a race around the Kremlin. Nixon came the first. How should our media report on that? A: As follows: In the international running competition the General Secretary of the Communist Party took the honorable second place, while President Nixon came in next to last.",,,5
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",,,4
"Q: What is permitted and what is prohibited? A: In England, what is permitted, is permitted, and what is prohibited, is prohibited. In America everything is permitted except for what is prohibited. In Germany everything is prohibited except for what is permitted. In France everything is permitted, even what is prohibited. In the USSR everything is prohibited, even what is permitted.",,,2
"Q: Why Solzhenitsyn, Brodsky, Bukovsky, and other dissidents have been exiled from the country? A: Don't you know that the best products are always selected for export?",,,3
"Q: Will people have money when communism is built? A: Some will, some will not.",,,3
"Q: Is it possible to build communism in America? A: It's possible, but who will we buy grain from?",,,2
"Q: When the final phase of socialism, namely communism, is built, will there still be thefts and pilfering? A: No, because everything will be already pilfered during socialism.",,,3
"Q: Was comrade Lenin a scientist or a politician? A: Of course, a politician. If he were a scientist, he would've first tried his theories on dogs.",,,1
Q: What is the most permanent feature of our socialist economy? A: Temporary shortages.,,,4
Q: What is the difference between the capitalist and the socialist trade? A: Capitalist trade means everything is to be sold. Socialist trade means everything is to be bought.,,,2
"Q: When communism will be built, will there still be Jews and Armenians? A: Don't worry, the Jews and the Armenians will find a way to fink out.",,,4
Q: What is the greatest achievement of Soviet agriculture? A: Sowing in the USSR and harvesting in America.,,,1
"Q: What is Sholokhov writing now? A: A crime novel titled ""How I Received the Nobel Prize in Literature.""",,,1
"Q: Will everybody learn swimming when communism is built? A: Please, please... Don't compare communism to the World Flood.",,,2
"Q: Is there in the USSR an open opposition? A: Even if it were, it would long have been none.",,,5
Q: What will be the results of the next elections? A: Nobody can tell. Somebody stole yesterday the exact results of the next elections from the office of the Central Committee of the USSR.,,,3
Q: What will be the sentence in the case of citizens Arutyunyan and Akopyan whose trial is expected to be completed next week? A: Nobody can tell. The text of the sentence was stolen yesterday from the District Party Committee.,,,3
"Q: Why the symbol of the Republicans in the US is an elephant, but that of the Democrats is an ass? A: Because no ass can symbolize two political parties at the same time.",,,3
"Q: What is the difference between the capitalist advertising and the communist propaganda? A: We don't know about the difference, but one can't get away from either of them.",,,4
"What is the difference between Russian and English fairy tales? A: The English fairy tale starts with ""Once upon a time...."", and ours with ""It will be soon...""",,,5
"Q: Why did you not broadcast for such a long time? A: We had to make some changes to our staff. The previous broadcaster, while reading an article that contained the words, ""Socialism is nothing as compared with communism,"" made a pause too long after the word ""nothing.""",,,4
"Q: How will the people know that communism has finally arrived? A: Don't worry, the newspapers and radio will announce this in a timely fashion. As to TV, it's not yet known.",,,4
Q: Why did Stalin work only at nighttime? A: Are you indeed that naive? Even kids know who sets out to work only after dark.,,,3
"Q: Is it true that the Berlin Wall was built to separate the West from the East? A: No, it's not true. It was built to separate East from West.",,,2
Q: Is it true that the Suez Canal was built to connect the Mediterranean with the Red Sea? A: Not true. It was built to separate Israel from Egypt.,,,4
"Q: Is it true that every Soviet soldier dreams of becoming a general? A: No, our soldiers are not that stupid. They know that generals may become MIA even in time of peace.",,,5
Q: What should we do if the Western borders of the USSR were opened? A: Rush to Siberia at once in order not to be crushed in the stampede.,,,3
"Q: Will the police still exist when communism is built? A: Of course, not. By that time, all citizens will have learned how to arrest themselves.",,,5
Q: What to do if a man you don't know takes a seat at your table in a pub and starts to sigh? A: Immediately demand to stop the anti-Soviet propaganda.,,,4
"Q: Is there a problem of racism in the USSR? A: No. In our country, both the whites and the blacks are counted among the red.",,,4
Q: Why do we have all those shortages in meat supply? A: We are approaching communism at such a high pace that the cattle lags behind.,,,2
"Q: In our factory's mess hall, the tea is not sweet at all, while the mess manager says he puts sugar according to the prescribed dose. What shall we do? A: Try to stir your tea counterclockwise rather than clockwise.",,,1
"Q: Is it possible to build socialism in Switzerland? A: It's possible, but why? Did Switzerland really do something wrong to you?",,,3
Q: Is it possible in a socialist country to end up under a train? A: Easier than on a train.,,,2
"Q: Why do some people say that Hungarians love the Russians and hate the Americans? A: Because Russians helped Hungarians to get rid of one totalitarian rule, but Americans didn't help to get rid of the other.",,,3
"Q: What is the easiest way to explain the meaning of the word ""communism?"" A: By means of fists.",,,2
"Q: Are the bedbugs also builders of socialism? A: Of course, in their veins flows the workers-and-peasants' blood.",,,2
"Q: Why the man who shot at a government limousine on the Red Square, missed the target? A: Because citizens who happened to be next to him tried to wrest the gun from him and shouted, ""Let me shoot!""",,,1
"Q: When the elections were first held using the Soviet method? A: When Adam was electing his wife, and Eve her husband.",,,3
Q: Why the answers of Armenian Radio are often stupid? A: Because these answers are invented not by Armenians.,,,3
"Q: Is it possible to wrap an elephant in a newspaper? A: Yes, if this is the issue that features a speech by Khrushchev.",,,5
"Q: What is the difference between a pessimist and an optimist? A: A pessimist maintains that things are so bad, they can't become any worse; an optimist believes they can become even worse.",,,4
Q: What is worse than a young pessimist? A: An old optimist.,,,5
"Q: How many fools are there in Armenia? A: Come over here, you'll be the first.",,,5
Q: What do the leaders of the communist countries have in common with the unemployed in the West? A: They all are uncertain about their next day.,,,4
"Q: Moscow radio tells me every day about the cornucopia of food in our country, while my fridge is empty. What should I do? A: Plug your fridge into your radio.",,,3
"Q: Why Lenin wore regular shoes, but Stalin wore boots? A: At Lenin's time, Russia was still only ankle-high in shit.",,,2
"Q: May you please give an example of the greatest utterances by Stalin? A: Yes. For example, Stalin taught, ""One has to plan skillfully. One should not plan unskillfully. What does it mean? It means that we, the communists, must not plan unskillfully. If we plan unskillfully then we plan poorly. And if we plan skillfully, then we'll plan well!"" That's what the Great Stalin taught us.",,,1
"Q: What is the duration of the workday in a socialist country? A: Of course, it's an eight-hour workday: from eight am to eight pm.",,,2
"Q: Is it true that Tchaikovsky was a pederast? A: Yes, but he is liked not only for that. Some also like his music.",,,2
Q: Is there anti-Semitism in the USSR? A: We must answer in the positive: No!,,,3
"Q: How to prevent damage caused by earthquakes? A: To borrow the experience of the progressive part of the Western youth. They often organize mass demonstrations, for a cause or without a cause, under a universal slogan, ""We protest!"" With this slogan, they bravely march in front of parliaments, or of Universities, or of any other structures. As a rule, they carry portraits of Marx, Lenin, Che Guevara, Tito, Mao, Stalin, Hitler, Ho Chi Min, Charlie Chaplin, Arafat, Napoleon, The Pope, Nelson Mandela, Michael Jackson, Madonna, and many other known and unknown personalities. The oscillations of the ground caused by their footsteps strengthen the urban structures.",,,2
"Q: Can a son of a General become a Marshal? A: No, because every Marshal also has a son.",,,5
Q: Are there men who do not cheat on their wives when they are on prolonged business trips? A: Of course. Soviet cosmonauts and American astronauts.,,,3
"Q: Does China have rockets powerful enough to reach the moon? A: They don't need rockets. If the Chinese communist Party ordered, their people just would step on each other's shoulders, and this way they could reach even the sun.",,,2
"Q: Was it possible to criticize Hitler? A: Sure. The same way as you criticized Stalin. You had to lock yourself in your bedroom, hide under two, or better three covers, place a pillow, or better two pillows on top of the blankets over your head, and then whisper whatever your soul wishes about the dictator, strictly adhering to a five-minute limit.",,,3
"Q: What is the difference between newspapers and radio? A: You can use a newspaper to wrap a herring, but you can't wrap it in radio waves.",,,4
"Q: Which tea is better, Chinese or Soviet-grown? A: Don't mix up in the confrontation between the superpowers. Drink coffee.",,,4
"Q: Will there be a third world war? A: No, but the struggle for peace will reach such a degree that there will be no stone left intact on the earth.",,,5
Q: Is it true that you always lie? A: We always lie only in the sheer truth.,,,3
"Q: Is it true that Akopian had won last Sunday a hundred thousand rubles in the state lottery? A: Yes, it is true. Only it was not last Sunday but Monday. And it was not Akopian but Vagramian. And not in the state lottery but in checkers. And not a hundred thousand but one hundred rubles. And not won but lost.",,,4
"Q: Is it true that there are two kinds of people serving as deputies of the Supreme Soviet of the USSR, as members of the Supreme Court, and as Soviet diplomats? A: Yes, it is true. One kind is those not capable of anything at all, and the other is those capable of anything whatsoever.",,,5
"Q: What if socialism were built in Greenland? A: First snow would become available only through ration cards, and later snow would be distributed only to the KGB officers and their families.",,,2
"Q: What is communism? A: It's when everything will be available in stores. In other words, like it was under the Czar Nikolai the Second.",,,1
"Q: Why do we need two central newspapers, Pravda (Truth) and Izvestiya (News) if both are organs of the same Party? A: Because in Pravda there is no news, and in Izvestiya there is no truth.",,, 4
Q: What is it that starts with an R and never ends? A: Reorganization.,,,5
"Q: Is it possible to build socialism in one stand-alone country? A: It's possible, but better to live in another country.",,,4
"Q: Is it true that due to the achievements of Soviet technology, we will soon be able to order food over the phone? A: Yes, our sources tell us it is true. The same sources told us the ordered food would be delivered via TV.",,,5
"Q: What is the socialist friendship of nations? A: It's when Armenians, Russians, Ukrainians, Jews, and all other peoples of the USSR unite in a brotherly manner and all together set out to beat up the Azeris.",,,1
Q: Why did butter disappear from the stores' shelves? A: It all has melted under the sun of the Soviet Constitution.,,,1
"Q: What is the difference between Zionism and Impressionism? A: We don't know about this difference, but if you are who we think you are, you better go.",,,3
Q: is it possible to solve a problem which has no solution? A: We don't answer questions related to agriculture.,,,4
"Q: Are there questions you can't answer? A: No. We approach our job in accordance with the Marx' dialectics. To any question, we can give any answer.",,,3
"Q: What methods do our enemies use in their subversive work against the socialist state? A: Such questions we discuss in our program ""Useful Advice.""",,,1
"Q: Is there life on other planets? A: On other planets, there is also no life.",,,4
"Q: Can a woman serve as a diplomat? A: No, because a woman and a diplomat use differently the words Yes and No. If a diplomat says Yes, it means Maybe. If a diplomat says Maybe, it means No. If a diplomat says No, what kind of diplomat is he? On the other hand, if a woman says No, it means Maybe. If a woman says Maybe, it means Yes. If a woman says Yes, well, what kind of woman is she?",,,3
Q: What is a one-word joke? A: Communism,,,5
Q: What is the longest joke? A: The speech made by Khrushchev at the Party congress.,,,5
"Q: Is it possible to make ends meet on salary alone? A: We don't know, we never tried.",,,2
"Q: Is it true that American cars are the fastest in the world? A: Yes, it's true, but on the other hand, our Soviet watches are the fastest in the world.",,,4
"Q: Is it true that American skyscrapers are the tallest in the world? A: Yes, it's true, but on the other hand the Soviet-made transistors are the largest in the world.",,,4
"Q: Is it possible to sleep with an open window? A: Yes, it's possible if there is nobody else to sleep with.",,,2
"Q: Should an eighteen-year-old girl go to bed at eight pm? A: Yes, if her parents expect her to be back home no later than ten.",,,4
"Q: Is it possible to buy a man who is deeply honest and principled? A: To buy is impossible, but it's possible to sell.",,,5
"Q: How should be a mermaid and a centaur depicted to meet the laws of Socialist Realism? A: The mermaid should have the upper part that of a fish, and the lower part that of a woman, the legs clad in stockings and shoes. As to the centaur, the upper part remains that of a man, but the lower part, rather than being that of a horse, is replaced with a tractor, desirably with spare parts.",,,3
"Q: Can a man rape a woman while jogging? A: No, because a woman with a skirt up is always running faster than a man with pants down.",,,1
Q: Is it possible to make one chicken last for a whole week? A: Yes. Just buy the chicken on Monday but cook it next Sunday.,,,2
Q: My husband cheated on me so many times that I just don't know who is the father of my kids. What shall I do? A: Be magnanimous and forgive your husband.,,,1
Q: What a poor man needs? A: A slice of white bread. Caviar may be also black.,,,3
"Q: Is it possible to get intimate with a mare? A: Yes, it's possible, but you'll have to run too far for a kiss.",,,2
Q: How to make it easier for a man and wife to bear the bond of marriage? A: Minimum as a threesome.,,,1
"Q: I would like to marry a girl, but I am not sure she is a virgin. How to find out? A: Very simple. Introduce your girl to us this evening, and tomorrow morning we will tell you the answer.",,,3
"Q: What shall we do when in a restaurant they serve a hamburger which looks like a piece of shit? A: To be sure, just taste it.",,,1
Q: Do you often drink so much that you fully forget everything? A: We can't remember.,,,5
Q: What shall we do if suddenly we feel a desire to work? A: Just rest for a while on a sofa. It will pass.,,,5
"Q: What does a hen think when a cock runs after her? A: She thinks, 'I hope I'm running not too fast.'",,,1
Q: What to do if vodka interferes with the job? A: Get off the job.,,,4
"Q: What to do if a tiger attacks a mother-in-law? A: If he was the first to attack, let him defend himself on his own.",,,5
"Q: Why some men are bald, while others are not? A: All men are bald. Just some of them have hair over the bald spot.",,,2
"Q: Why have your answers become so dull lately? A: Because the old Jew who used to give answers, died recently.",,,5
"Q: How long it takes to persuade a woman? A: It depends on the length of your most telling argument. The longer it is, the shorter the time, and vice versa.",,,3
"Q: What a husband should do if he sees his wife with a stranger and they both are naked? A: A good husband should cover his wife at once, not to let her get cold.",,,5
Q: My husband is a foreman of an all-female crew in our factory. He gets so tired by the end of the day that he's unable to fulfill his spouse's duty. What shall I do? A: Enroll in his crew.,,,4
Q: What is an exchange of opinions? A: When you walk into your boss's office with your opinion and walk out with his.,,,5
"Q: Is it true that carrots are good against impotency? A: Yes, but many prefer bananas.",,,1
"Q: Is it possible for a man to give birth? A: There has not been such a case on record, but experiments continue in many countries.",,,2
Q: What is the most uncomfortable? A: To put on your pants by pulling them over your head.,,,1
"Q: How to find out the precise time of the day? A: A few seconds before noon, you'll hear a low-pitched tone followed by a high-pitched tone. At that moment the time will be 12 noon, or at the most 12 and a quarter.",,,4
"Q: Is it true that the X-rays were discovered in Russia? A: Yes, it's true. Even in the 17th century, Prince Morozov wrote to his wife ""I see through you, whore."" Later, it became a popular adage, ""I see through you and even deeper.""",,,3
Q: Why did our scientists photograph the backside of the moon? A: At the request of the gay community.,,,4
"Q: Is it possible to sit down on a porcupine with a naked ass? A: It's possible on three occasions, to wit: 1. If you first shave the porcupine; 2. If it is not yours but somebody else's ass; and 3. If that's the will of the Party.",,,2
"Q: Is it true that if you measure a tiger from the tip of his nose to the end of his tail, the length is twice as big as if you measure from the end of the tail to the tip of the nose? If it's true, how can it be? A: What's unusual about that? Don't you know, for example, that from Easter to Christmas it's eight months, but from Christmas to Easter only four?",,,1
Q: What is the safest contraceptive device? A: Telephone. Don't use anything else to get in touch with women.,,,3
"Q: Why do policemen always walk the streets in teams of three? A: The partners in the police team are always chosen in such a way that one of them knows how to read, the other how to write, and the third one, naturally, has to keep watch over those two intellectuals.",,,2
"Q: Is there a symphony orchestra in New Guinea? A: Of course not, as no Jew would agree to put a ring into his nose.",,,1
Q: Is Israel a big or a small country? A: Of course big. If it were small it would be called Izya.,,,2
"Q: Is it possible to open a brothel in Erevan? A: It's possible, only in the socialist society we don't say brothel. We call it collective.",,,2
"Q: What was the main problem our pilots encountered during the Korean War and during the war in Vietnam? A: In both wars, our pilots had to operate their planes with one hand only, the other hand busy pulling the corners of their eyes to keep them slanted.",,,4
Q: Our teacher told us every student must do something big and pure. What could you suggest? A: Go to a Zoo and wash an elephant.,,,5
"Q: How can it be that ugly cocoons convert into beautiful butterflies? A: What is unusual about it? For example, all young girls are so pretty and nice, but where do all those ugly witches of wives come from?",,,3
